NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 37.12, Bernalillo County, New Mexico",65,22,15,0,0,0,0,0,0,0,0,0,0,40,0,0,0,150,162,49,327,156,0,0,0,0,15,0,4,0,0,5,0,0,12,0,0,14,40,0,0,0,0,0,0,0,15,11,35,001,003712,2018
"Census Tract 37.15, Bernalillo County, New Mexico",0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,243,43,362,131,0,11,0,0,24,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,35,001,003715,2018
"Census Tract 37.23, Bernalillo County, New Mexico",0,308,69,0,0,0,0,0,0,0,0,0,0,27,0,0,0,270,243,28,507,184,37,0,0,13,0,0,0,0,0,58,0,0,0,16,0,18,0,0,0,0,0,0,0,0,45,0,35,001,003723,2018
"Census Tract 6.03, Otero County, New Mexico",0,79,32,0,0,0,0,0,0,12,0,0,0,0,0,0,0,105,90,43,143,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,035,000603,2018
"Census Tract 6.01, Otero County, New Mexico",650,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,17,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,035,000601,2018
"Census Tract 2, Otero County, New Mexico",0,16,11,8,0,0,0,0,0,63,36,0,0,0,0,0,0,68,63,9,36,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,35,035,000200,2018
"Census Tract 1, Otero County, New Mexico",27,40,45,0,0,0,0,0,0,40,22,0,0,0,0,0,0,57,22,17,93,0,0,5,4,17,9,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,35,035,000100,2018
"Census Tract 4.01, Otero County, New Mexico",101,3,42,0,0,0,0,0,0,0,3,0,0,0,0,0,0,305,131,78,287,287,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,35,035,000401,2018
"Census Tract 4.02, Otero County, New Mexico",8,168,12,0,0,0,0,0,0,68,45,25,0,44,0,0,0,350,112,79,285,197,33,0,0,77,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,21,0,35,035,000402,2018
"Census Tract 5, Otero County, New Mexico",35,78,0,0,0,0,0,0,0,68,84,0,0,0,0,0,0,105,174,0,135,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,86,35,035,000500,2018
"Census Tract 6.02, Otero County, New Mexico",191,91,0,0,0,0,0,0,0,83,19,0,0,0,0,0,0,149,104,17,164,40,5,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,35,035,000602,2018
