NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 2, Census Tract 5, Eddy County, New Mexico",602,56,24,0,0,10,21,7,14,623,56,38,0,0,17,332,381,484,9,0,35,015,000500,2,2018
"Block Group 1, Census Tract 5, Eddy County, New Mexico",1631,138,0,0,0,112,10,0,10,1641,148,0,0,0,112,1252,639,1275,0,27,35,015,000500,1,2018
"Block Group 4, Census Tract 9552, Mora County, New Mexico",554,0,0,0,0,165,22,22,0,576,0,0,0,0,187,679,62,481,0,0,35,033,955200,4,2018
"Block Group 1, Census Tract 9552, Mora County, New Mexico",971,0,0,0,0,236,0,0,0,971,0,0,0,0,236,924,283,1052,0,21,35,033,955200,1,2018
"Block Group 1, Census Tract 25, Bernalillo County, New Mexico",1105,66,0,13,0,28,113,9,104,1218,144,26,35,0,37,781,544,1071,9,5,35,001,002500,1,2018
"Block Group 2, Census Tract 35.01, Bernalillo County, New Mexico",1643,0,0,0,0,380,0,0,0,1643,0,0,0,0,380,1215,808,1668,27,0,35,001,003501,2,2018
"Block Group 3, Census Tract 9702, Valencia County, New Mexico",983,0,55,20,0,156,17,0,17,983,0,55,37,17,156,779,452,900,33,9,35,061,970200,3,2018
"Block Group 1, Census Tract 9709.01, Valencia County, New Mexico",1193,11,31,0,0,193,7,0,7,1200,11,31,7,0,193,873,562,1105,9,11,35,061,970901,1,2018
"Block Group 3, Census Tract 9709.01, Valencia County, New Mexico",1316,0,5,0,0,57,33,33,0,1349,0,5,0,0,90,1062,349,1020,14,17,35,061,970901,3,2018
"Block Group 2, Census Tract 9701.02, Valencia County, New Mexico",826,0,0,26,0,17,0,0,0,826,0,0,26,0,17,287,582,837,0,0,35,061,970102,2,2018
"Block Group 2, Census Tract 9707, Valencia County, New Mexico",2621,0,271,0,0,37,35,35,0,2621,0,306,0,0,72,1729,1235,2005,0,0,35,061,970700,2,2018
"Block Group 1, Census Tract 9703.01, Valencia County, New Mexico",890,0,35,0,0,299,22,22,0,890,0,57,0,0,321,1005,241,885,21,21,35,061,970301,1,2018
"Block Group 2, Census Tract 15, Bernalillo County, New Mexico",904,36,13,0,0,40,213,178,35,980,36,56,129,0,218,949,257,919,0,5,35,001,001500,2,2018
"Block Group 2, Census Tract 47.15, Bernalillo County, New Mexico",1540,37,2,0,0,506,93,93,0,1576,94,2,0,0,599,1682,496,1808,22,9,35,001,004715,2,2018
"Block Group 2, Census Tract 2.06, Bernalillo County, New Mexico",1245,9,0,0,0,36,17,0,17,1254,26,0,0,8,36,472,835,1045,9,20,35,001,000206,2,2018
"Block Group 4, Census Tract 3, Bernalillo County, New Mexico",833,0,10,31,0,26,77,0,77,910,0,10,108,0,26,293,684,767,14,0,35,001,000300,4,2018
"Block Group 2, Census Tract 11.02, Santa Fe County, New Mexico",1111,0,0,15,0,11,30,12,18,1141,0,0,33,0,23,242,925,946,37,37,35,049,001102,2,2018
"Block Group 2, Census Tract 14, Doña Ana County, New Mexico",1012,0,0,0,0,54,0,0,0,1012,0,0,0,0,54,936,130,701,0,0,35,013,001400,2,2018
